id,sentence,topic,sentiment
0,thầy đảm bảo tốt về giờ lên lớp .,0,1
1,"tinh thần , kiến thức .",3,1
2,nhiều học sinh không hài lòng với cách sắp lịch học và cách ra bài tập thực hành của giáo viên .,0,0
3,"thầy rất nhiệt tình , giảng rất hay , nhiều ví dụ thực tiễn dễ hiểu .",0,2
4,"nhiệt tình , vui vẻ , hướng dẫn tốt .",0,2
5,đề nghị có câu trả lời cụ thể khi sinh viên hỏi bài .,0,0
6,thầy nhiệt tình dễ thương .,0,2
7,thầy cho chép nhiều quá .,0,0
8,"cô dạy nhiệt tình , kiến thức sâu và rộng , liên hệ thực tiễn cụ thể .",0,2
9,cô sửa nhiều bài tập giúp sinh viên dễ tiếp thu phần lý thuyết .,0,2
10,giảng dạy thú vị .,0,2
11,sắp xếp lịch hợp lý hơn để không bị trùng lịch học của sinh viên .,1,0
12,"thầy nói nhiều như trên slide , nếu có nhiều ví dụ cụ thể thì dễ hiểu hơn .",0,0
13,dạy chán .,0,0
14,"giáo viên dạy rất tận tâm , nhiệt tình .",0,2
15,làm nhiều bài tập hơn nữa .,0,0
16,nói chung là không có vấn đề tiêu cực với phương pháp của cô .,0,1
17,cảm ơn thầy !,3,1
18,"giảng viên tận tâm , nhiệt tình .",0,2
19,giảng viên nên đưa ra nhiều ví dụ minh họa hơn .,0,0
20,cám ơn thầy đã giúp đỡ em .,0,1
21,"nhiệt tình , tâm huyết , báo sát nội dung môn học , hết lòng hỗ trợ sinh viên .",0,2
22,"thầy dạy nhiệt tình , giọng nói hay cuốn hút .",0,2
23,thầy giảng bài nhiệt tình .,0,2
24,"giáo viên giỏi , nhiệt tình .",0,2
25,em thấy môn này nhiều lý thuyết không đáp ứng đủ trong việc làm đồ án .,1,0
26,cô dạy rất hay nhiều phần sinh động .,0,2
27,có nhiều thời gian chết trong giờ học .,2,0
28,"đi học xa quá ạ , mong trường có kế hoạch nào đó cho sinh viên học thể dục bên nhân văn đi bộ cho gần ạ !",1,0
29,"giảng viên cực kỳ tận tâm , nhiệt tình , giảng dạy rất dễ hiểu và rất thú vị tuy rằng đây là môn khô khan , khó hiểu .",0,2
30,"giảng viên cho quá nhiều bài tập , nhưng ít hướng dẫn và giải bài tập .",0,0
31,"giảng viên thân thiện , hay quan tâm tới sinh viên .",0,2
32,cứ theo tiến độ của chương trình môn học .,1,1
33,sử dụng thời gian ở lớp hiệu quả .,2,2
34,"cô dạy cực kỳ nhiệt tình , hiểu tâm lý học sinh , cách giảng bài hay .",0,2
35,"thầy dạy dễ hiểu , gần gũi với sinh viên .",0,2
36,mong cô giúp đỡ nhiều hơn .,0,0
37,cô chưa có nhiều kênh bài tập cho sinh viên .,0,0
38,"nên cho nhiều ví dụ và bài tập về nhà , cung cấp tài liệu thêm cho các sinh viên muốn tìm hiểu thêm .",1,0
39,thầy dạy chán chưa thu hút học sinh .,0,0
40,"cần thêm các tiết speaking đối thoại , thực hành , cho các đề tài làm việc nhóm , thi nói , thuyết trình .",1,0
41,"cô dễ thương , dạy quá có tâm .",1,2
42,thầy cho bài tập để làm mà không cho đáp án để sinh viên biết được mình giải đúng hay sai .,0,0
43,thầy rất vui tính gần gũi .,0,2
44,"giảng viên nhiệt tình , giảng dạy từ từ , dễ hiểu .",0,2
45,cô rất nhiệt tình và gửi nhiều tâm huyết trong bài giảng .,0,2
46,thầy có thể cho nhiều bài tập hơn nhưng ở dạng tùy chọn hoặc bài tham khảo thêm ngoài những bài tập bắt buộc .,0,0
47,"dạy hay , hiệu quả .",0,2
48,giảng viên rất tệ .,0,0
49,"cung cấp thêm tài liệu , giáo trình bộ môn .",1,0
50,giảng viên nên đảm bảo giờ trên lớp và sử dụng hiệu quả tiết học .,0,0
51,chỉ cần cho bài tập rồi làm nộp .,1,1
52,tận tâm giúp đỡ sinh viên .,0,2
53,thầy hướng dẫn thực hành rất không tốt .,0,0
54,sau lễ 30 fraction 4 - 1 fraction 5 doubledot giảng viên không đến lớp để giảng dạy .,0,0
55,"cô dạy rất tận tâm và nhiệt tình , giảng bài rất kỹ , cô luôn cập nhật tài liệu trên course .",0,2
56,giáo viên giảng dạy lôi cuốn .,0,2
57,giảng viên cho bài tập bám sát nội dung giảng dạy .,0,2
58,"nhiệt tình , truyền đạt tốt , phương pháp giảng dạy tốt .",0,2
59,không sử dụng moodle để trao đổi với sinh viên mà chỉ trao đổi riêng với nhóm trưởng của các nhóm .,0,0
60,học môn này khá vui .,1,2
61,"thầy dạy chưa chủ động giải đáp các thắc mắc lớn của môn học , chủ yếu chỉ giải đáp thắc mắc có sẵn .",0,0
62,không hiểu bài thật tốt .,1,0
63,nâng cao khả năng tự học của sinh viên .,1,2
64,"thầy dạy chi tiết , hướng dẫn nhiệt tình .",0,2
65,rất thích được học cô .,0,2
66,giảng viên dạy nhiệt tình vui vẻ .,0,2
67,cách thức truyền đạt của giáo viên .,0,1
68,"giảng viên tận tâm , nhiệt tình , có nội dung bài giảng tốt .",0,2
69,"giảng viên bám sát hơn nội dung môn học , tránh đi lan man .",0,0
70,có thể tăng cường phần speaking và listening trong các giờ học .,1,2
71,giáo viên giảng bài dễ hiểu .,0,2
72,giáo viên chọn đồ án môn học bám sát với nội dung môn học .,0,2
73,"đầu tư phòng lab thực hành trên thiết bị thật , có quy mô .",2,0
74,"thầy nhiệt tình , vui vẻ .",0,2
75,thầy không cho làm đồ án .,0,0
76,"thầy rất nhiệt tình , giảng cặn kẽ .",0,2
77,cần mở thêm lớp thực hành .,1,0
78,"thầy toàn dạy slide tiếng anh , đôi lúc thầy đọc mà có khi thầy còn không hiểu chứ huống chi sinh viên .",0,0
79,còn nhiều chỗ thiếu sót .,3,0
